TIME,GEO,S_ADJ,AGE,UNIT,SEX,Value,Flag and Footnotes
2019M10,Denmark,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,158,
2019M10,Denmark,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,5.2,
2019M10,Germany (until 1990 former territory of the FRG),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"1,323",
2019M10,Germany (until 1990 former territory of the FRG),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3,
2019M10,Germany (until 1990 former territory of the FRG),"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"1,381",
2019M10,Germany (until 1990 former territory of the FRG),"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.2,
2019M10,Estonia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,28,
2019M10,Estonia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,4,
2019M10,Estonia,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,29,
2019M10,Estonia,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4.1,
2019M10,Ireland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,112,
2019M10,Ireland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,4.6,
2019M10,Ireland,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,115,
2019M10,Ireland,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4.7,
2019M10,Greece,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,770,
2019M10,Greece,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,16.3,
2019M10,Greece,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,785,
2019M10,Greece,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,16.7,
2019M10,Spain,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"3,227",
2019M10,Spain,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,13.9,
2019M10,Spain,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"3,224",
2019M10,Spain,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,14,
2019M10,France,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"2,496",
